# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# Pure six-byte bodies in exact FPO records or contiguous retail IAT-stub bands.
rva	size	iat_rva	import	evidence
0x16bdec	0x6	0x232cac	KERNEL32.dll!Sleep	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bdf2	0x6	0x232ca8	KERNEL32.dll!GetLogicalDriveStringsA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bdf8	0x6	0x232ca4	KERNEL32.dll!CreateDirectoryA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bdfe	0x6	0x232ca0	KERNEL32.dll!GetProfileStringA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be04	0x6	0x232c9c	KERNEL32.dll!OpenEventA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be0a	0x6	0x232c98	KERNEL32.dll!ResumeThread	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be10	0x6	0x232c94	KERNEL32.dll!SuspendThread	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be16	0x6	0x232c90	KERNEL32.dll!InitializeCriticalSection	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be1c	0x6	0x232c8c	KERNEL32.dll!DeleteCriticalSection	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be22	0x6	0x232c88	KERNEL32.dll!LeaveCriticalSection	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be28	0x6	0x232c84	KERNEL32.dll!EnterCriticalSection	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be2e	0x6	0x232c80	KERNEL32.dll!GetWindowsDirectoryA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be34	0x6	0x232c7c	KERNEL32.dll!GetSystemDirectoryA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be3a	0x6	0x232c78	KERNEL32.dll!GetVersionExA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be40	0x6	0x232c74	KERNEL32.dll!WaitForMultipleObjects	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be46	0x6	0x232c70	KERNEL32.dll!QueryPerformanceFrequency	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be4c	0x6	0x232c6c	KERNEL32.dll!GetPrivateProfileSectionNamesA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16be52	0x6	0x232c68	KERNEL32.dll!GetPrivateProfileIntA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
