# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# Unique FuncInfo-referenced unwind/catch action addresses.
action_rva	region	roles	group_stubs	map_slots	references
0x187928	tail	unwind	0x187933	1	1
0x187940	tail	unwind	0x187953	0	1
0x187948	tail	unwind	0x187953	1	1
0x187960	tail	unwind	0x18797e	0	1
0x18796a	tail	unwind	0x18797e	1	1
0x187974	tail	unwind	0x18797e	2	1
0x187990	tail	unwind	0x187998	0	1
0x1879b0	tail	unwind	0x1879c3	0	1
0x1879b8	tail	unwind	0x1879c3	1	1
0x1879d0	tail	unwind	0x1879e3	0	1
0x1879d8	tail	unwind	0x1879e3	1	1
0x1879f0	tail	unwind	0x187a03	0	1
0x1879f8	tail	unwind	0x187a03	1	1
0x187a10	tail	unwind	0x187a42	0	1
0x187a1a	tail	unwind	0x187a42	1	1
0x187a24	tail	unwind	0x187a42	2	1
0x187a2e	tail	unwind	0x187a42	3	1
0x187a38	tail	unwind	0x187a42	4	1
0x187a50	tail	unwind	0x187a58	0	1
0x187a70	tail	unwind	0x187a78	0	1
0x187a90	tail	unwind	0x187a98	0	1
0x187ab0	tail	unwind	0x187ae2	0	1
0x187aba	tail	unwind	0x187ae2	1	1
0x187ac4	tail	unwind	0x187ae2	2	1
0x187ace	tail	unwind	0x187ae2	3	1
0x187ad8	tail	unwind	0x187ae2	4	1
0x187af0	tail	unwind	0x187af8	0	1
0x187b10	tail	unwind	0x187b18	0	1
0x187b30	tail	unwind	0x187b38	0	1
0x187b50	tail	unwind	0x187b78	0	1
0x187b5a	tail	unwind	0x187b78	1	1
0x187b64	tail	unwind	0x187b78	2	1
0x187b6e	tail	unwind	0x187b78	3	1
0x187b90	tail	unwind	0x187ba3	0	1
0x187b98	tail	unwind	0x187ba3	1	1
0x187bb0	tail	unwind	0x187bc3	0	1
0x187bb8	tail	unwind	0x187bc3	1	1
0x187bd0	tail	unwind	0x187bd8	0	1
0x187bf0	tail	unwind	0x187bf8	0	1
0x187c10	tail	unwind	0x187c20	0	1
0x187c18	tail	unwind	0x187c20	1	1
0x187c30	tail	unwind	0x187ce0	0	1
0x187c38	tail	unwind	0x187ce0	1	1
0x187c46	tail	unwind	0x187ce0	2	1
0x187c54	tail	unwind	0x187ce0	3	1
